R1,R2,R3,R4,barrier
Me,Br,Cl,NHMe,26.080279686000004
Me,Me,H,OMe,26.093457249000004
Br,Cl,H,NMe2,26.109144824
Me,H,Cl,NHMe,26.109144824
Cl,Br,Cl,NHPh,26.155580046
Me,H,Ph,NHPh,26.159345064000004
Ph,H,Ph,NHPh,26.174405136
Me,Me,Br,NHPh,26.233390418000003
Me,Ph,Cl,OMe,26.250332999000005
Br,Cl,Br,Me,26.250960502000005
Ph,H,Br,NHMe,26.284218161
H,Ph,Br,NHPh,26.293630706
H,Br,H,NHPh,26.298023227
Me,Br,Cl,Ph,26.301788245
Cl,H,Br,NMe2,26.308690778
Cl,H,Me,OMe,26.325633359
Br,Cl,Ph,OMe,26.327515868000003
Ph,Me,Ph,Me,26.328770874000003
H,Cl,Ph,Me,26.374578593000003
H,Ph,Cl,NHPh,26.381481126000004
Ph,Cl,Ph,Me,26.391521174
H,Cl,Me,Me,26.398423707000003
H,Cl,H,NHPh,26.399051210000003
Me,Ph,H,OMe,26.407208749
Br,Br,Ph,OMe,26.412856276
Ph,H,Cl,NH2,26.415366288
Br,Ph,Ph,H,26.427288845000003
H,Br,Ph,Me,26.428543851000004
Br,Ph,H,H,26.429798857
Ph,Cl,Br,OMe,26.434191378
Cl,H,Cl,NMe2,26.438583899
Cl,Cl,H,NHPh,26.440466408
Cl,Ph,Cl,Me,26.447368941
Br,Me,Ph,OMe,26.464939025
Cl,Cl,Br,Ph,26.480626600000004
H,Me,Me,Ph,26.481881606000005
Cl,Me,Ph,OMe,26.483136612
Br,Cl,Cl,NHMe,26.485646624000005
Br,Br,Ph,NH2,26.495686672
Cl,Ph,Br,Me,26.511374247000003
Br,H,Ph,NH2,26.512001750000003
Me,Ph,H,H,26.523924307
Cl,Cl,Cl,Ph,26.52455181
Cl,Me,Cl,NHMe,26.546514415000004
Br,Ph,Br,Me,26.623697284
Me,Ph,Ph,H,26.654444931000004
Me,H,H,NMe2,26.657582446000003
Cl,Br,Br,Me,26.67515253
Br,Me,Br,Ph,26.682682566
Me,Me,H,NH2,26.692095111
Me,Br,Br,Ph,26.692722614
Br,H,Br,NMe2,26.751707896000003
Me,Me,Ph,OMe,26.783710549
Me,Me,Cl,NHMe,26.810693178
H,Br,H,NH2,26.822615735
Br,Ph,Cl,Me,26.834538292000005
H,Me,H,NH2,26.8571284
H,Ph,Ph,OMe,26.8571284
Cl,H,Me,Me,26.880346011
Cl,Me,Br,NHMe,26.880346011
Br,Cl,Cl,Ph,26.887876047
Ph,Me,Br,OMe,26.942468808000005
